,Ticker,Exchange,Name,Sector,Industry
64,ADSK,NASDAQ,Autodesk Inc,Technology,Computer Software Prepackaged Software
65,ADTN,NASDAQ,Adtran Inc,Public Utilities,Telecommunications Equipment
66,ADUS,NASDAQ,Addus Homecare Corporation,Health Care,Medical Nursing Services
67,ADVM,NASDAQ,Adverum Biotechnologies Inc,Health Care,Biotechnology Biological Products No Diagnostic Substances
68,ADXS,NASDAQ,Advaxis Inc,Health Care,Major Pharmaceuticals
69,ADXSW,NASDAQ,Advaxis Inc,Health Care,Major Pharmaceuticals
70,AEGN,NASDAQ,Aegion Corp,Basic Industries,Water Supply
71,AEHR,NASDAQ,Aehr Test Systems,Capital Goods,Electrical Products
72,AEIS,NASDAQ,Advanced Energy Industries Inc,Capital Goods,Industrial Machinery Components
73,AEMD,NASDAQ,Aethlon Medical Inc,Capital Goods,Biotechnology Laboratory Analytical Instruments
74,AERI,NASDAQ,Aerie Pharmaceuticals Inc,Health Care,Biotechnology Biological Products No Diagnostic Substances
75,AETI,NASDAQ,American Electric Technologies Inc,Energy,Industrial Machinery Components
76,AEY,NASDAQ,Addvantage Technologies Group Inc,Consumer Services,Office Equipment Supplies Services
77,AEZS,NASDAQ,Aeterna Zentaris Inc,Health Care,Major Pharmaceuticals
78,AFH,NASDAQ,Atlas Financial Holdings Inc,Finance,Propertycasualty Insurers
79,AFHBL,NASDAQ,Atlas Financial Holdings Inc,Finance,Propertycasualty Insurers
80,AFMD,NASDAQ,Affimed Nv,Health Care,Major Pharmaceuticals
81,AFSI,NASDAQ,Amtrust Financial Services Inc,Finance,Propertycasualty Insurers
82,AGEN,NASDAQ,Agenus Inc,Health Care,Biotechnology Biological Products No Diagnostic Substances
83,AGFS,NASDAQ,Agrofresh Solutions Inc,Finance,Business Services
84,AGFSW,NASDAQ,Agrofresh Solutions Inc,Finance,Business Services
85,AGIO,NASDAQ,Agios Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
86,AGLE,NASDAQ,Aeglea Biotherapeutics Inc,Health Care,Major Pharmaceuticals
87,AGMH,NASDAQ,Agm Group Holdings Inc,Technology,Edp Services
88,AGNC,NASDAQ,Agnc Investment Corp,Consumer Services,Real Estate Investment Trusts
89,AGNCB,NASDAQ,Agnc Investment Corp,Consumer Services,Real Estate Investment Trusts
90,AGNCN,NASDAQ,Agnc Investment Corp,Consumer Services,Real Estate Investment Trusts
91,AGND,NASDAQ,Wisdomtree Barclays Negative Duration Us Aggregate Bond Fund,Missing,Missing
92,AGRX,NASDAQ,Agile Therapeutics Inc,Health Care,Major Pharmaceuticals
93,AGTC,NASDAQ,Applied Genetic Technologies Corporation,Health Care,Biotechnology Biological Products No Diagnostic Substances
94,AGYS,NASDAQ,Agilysys Inc,Technology,Edp Services
95,AGZD,NASDAQ,Wisdomtree Barclays Interest Rate Hedged Us Aggregate Bond F,Missing,Missing
96,AHGP,NASDAQ,Alliance Holdings Gp Lp,Energy,Coal Mining
97,AHPA,NASDAQ,Avista Healthcare Public Acquisition Corp,Health Care,Biotechnology Commercial Physical And Biological Resarch
98,AHPAU,NASDAQ,Avista Healthcare Public Acquisition Corp,Health Care,Biotechnology Commercial Physical And Biological Resarch
99,AHPAW,NASDAQ,Avista Healthcare Public Acquisition Corp,Health Care,Biotechnology Commercial Physical And Biological Resarch
100,AHPI,NASDAQ,Allied Healthcare Products Inc,Health Care,Industrial Specialties
101,AIA,NASDAQ,Ishares Asia 50 Etf,Missing,Missing
102,AIHS,NASDAQ,Senmiao Technology Limited,Finance,Finance Consumer Services
103,AIMC,NASDAQ,Altra Industrial Motion Corp,Capital Goods,Industrial Machinery Components
104,AIMT,NASDAQ,Aimmune Therapeutics Inc,Health Care,Major Pharmaceuticals
105,AINV,NASDAQ,Apollo Investment Corporation,Missing,Missing
106,AIPT,NASDAQ,Precision Therapeutics Inc,Health Care,Industrial Specialties
107,AIRG,NASDAQ,Airgain Inc,Technology,Radio And Television Broadcasting And Communications Equipment
108,AIRR,NASDAQ,First Trust Rba American Industrial Renaissance Etf,Missing,Missing
109,AIRT,NASDAQ,Air T Inc,Transportation,Air Freight Delivery Services
110,AKAM,NASDAQ,Akamai Technologies Inc,Miscellaneous,Business Services
111,AKAO,NASDAQ,Achaogen Inc,Health Care,Major Pharmaceuticals
112,AKBA,NASDAQ,Akebia Therapeutics Inc,Health Care,Major Pharmaceuticals
113,AKCA,NASDAQ,Akcea Therapeutics Inc,Health Care,Major Pharmaceuticals
114,AKER,NASDAQ,Akers Biosciences Inc,Health Care,Biotechnology In Vitro And In Vivo Diagnostic Substances
115,AKRX,NASDAQ,Akorn Inc,Health Care,Major Pharmaceuticals
116,AKTS,NASDAQ,Akoustis Technologies Inc,Public Utilities,Telecommunications Equipment
117,AKTX,NASDAQ,Akari Therapeutics Plc,Health Care,Major Pharmaceuticals
118,ALBO,NASDAQ,Albireo Pharma Inc,Health Care,Major Pharmaceuticals
119,ALCO,NASDAQ,Alico Inc,Consumer Nondurables,Farming Seeds Milling
120,ALDR,NASDAQ,Alder Biopharmaceuticals Inc,Health Care,Major Pharmaceuticals
121,ALDX,NASDAQ,Aldeyra Therapeutics Inc,Health Care,Major Pharmaceuticals
122,ALGN,NASDAQ,Align Technology Inc,Health Care,Industrial Specialties
123,ALGT,NASDAQ,Allegiant Travel Company,Transportation,Air Freight Delivery Services
124,ALIM,NASDAQ,Alimera Sciences Inc,Health Care,Major Pharmaceuticals
125,ALJJ,NASDAQ,Alj Regional Holdings Inc,Miscellaneous,Business Services
126,ALKS,NASDAQ,Alkermes Plc,Health Care,Major Pharmaceuticals
127,ALLT,NASDAQ,Allot Communications Ltd,Technology,Computer Communications Equipment
128,ALNA,NASDAQ,Allena Pharmaceuticals Inc,Health Care,Biotechnology Biological Products No Diagnostic Substances
129,ALNY,NASDAQ,Alnylam Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
130,ALOG,NASDAQ,Analogic Corporation,Capital Goods,Electrical Products
131,ALOT,NASDAQ,Astronova Inc,Technology,Computer Peripheral Equipment
132,ALPN,NASDAQ,Alpine Immune Sciences Inc,Health Care,Major Pharmaceuticals
133,ALQA,NASDAQ,Alliqua Biomedical Inc,Health Care,Medical Dental Instruments
134,ALRM,NASDAQ,Alarmcom Holdings Inc,Technology,Computer Software Prepackaged Software
135,ALRN,NASDAQ,Aileron Therapeutics Inc,Health Care,Major Pharmaceuticals
136,ALSK,NASDAQ,Alaska Communications Systems Group Inc,Public Utilities,Telecommunications Equipment
137,ALT,NASDAQ,Altimmune Inc,Health Care,Major Pharmaceuticals
138,ALTR,NASDAQ,Altair Engineering Inc,Technology,Computer Software Prepackaged Software
139,ALTY,NASDAQ,Global X Superdividend Alternatives Etf,Missing,Missing
140,ALXN,NASDAQ,Alexion Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
141,AMAG,NASDAQ,Amag Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
142,AMAT,NASDAQ,Applied Materials Inc,Technology,Semiconductors
143,AMBA,NASDAQ,Ambarella Inc,Technology,Semiconductors
144,AMBC,NASDAQ,Ambac Financial Group Inc,Finance,Propertycasualty Insurers
145,AMBCW,NASDAQ,Ambac Financial Group Inc,Finance,Propertycasualty Insurers
146,AMCA,NASDAQ,Ishares Russell 1000 Pure Us Revenue Etf,Missing,Missing
147,AMCN,NASDAQ,Airmedia Group Inc,Technology,Advertising
148,AMCX,NASDAQ,Amc Networks Inc,Consumer Services,Television Services
149,AMD,NASDAQ,Advanced Micro Devices Inc,Technology,Semiconductors
150,AMDA,NASDAQ,Amedica Corporation,Health Care,Medical Dental Instruments
151,AMED,NASDAQ,Amedisys Inc,Health Care,Medical Nursing Services
152,AMEH,NASDAQ,Apollo Medical Holdings Inc,Consumer Services,Professional Services
153,AMGN,NASDAQ,Amgen Inc,Health Care,Biotechnology Biological Products No Diagnostic Substances
154,AMKR,NASDAQ,Amkor Technology Inc,Technology,Semiconductors
155,AMMA,NASDAQ,Alliance Mma Inc,Consumer Services,Servicesmisc Amusement And Recreation
156,AMNB,NASDAQ,American National Bankshares Inc,Finance,Major Banks
157,AMOT,NASDAQ,Allied Motion Technologies Inc,Capital Goods,Electrical Products
158,AMPH,NASDAQ,Amphastar Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
159,AMR,NASDAQ,Alta Mesa Resources Inc,Finance,Business Services
160,AMRB,NASDAQ,American River Bankshares,Finance,Major Banks
161,AMRH,NASDAQ,Ameri Holdings Inc,Technology,Semiconductors
162,AMRHW,NASDAQ,Ameri Holdings Inc,Technology,Semiconductors
163,AMRK,NASDAQ,Amark Precious Metals Inc,Basic Industries,Other Specialty Stores
164,AMRN,NASDAQ,Amarin Corporation Plc,Health Care,Major Pharmaceuticals
165,AMRS,NASDAQ,Amyris Inc,Basic Industries,Major Chemicals
166,AMRWW,NASDAQ,Alta Mesa Resources Inc,Finance,Business Services
167,AMSC,NASDAQ,American Superconductor Corporation,Consumer Durables,Metal Fabrications
168,AMSF,NASDAQ,Amerisafe Inc,Finance,Propertycasualty Insurers
169,AMSWA,NASDAQ,American Software Inc,Technology,Computer Software Prepackaged Software
170,AMTD,NASDAQ,Td Ameritrade Holding Corporation,Finance,Investment Bankers Brokers Service
171,AMTX,NASDAQ,Aemetis Inc,Basic Industries,Major Chemicals
172,AMWD,NASDAQ,American Woodmark Corporation,Basic Industries,Forest Products
173,AMZN,NASDAQ,Amazoncom Inc,Consumer Services,Catalog Specialty Distribution
174,ANAB,NASDAQ,Anaptysbio Inc,Health Care,Major Pharmaceuticals
175,ANAT,NASDAQ,American National Insurance Company,Finance,Life Insurance
176,ANCB,NASDAQ,Anchor Bancorp,Finance,Banks
177,ANCX,NASDAQ,Access National Corporation,Finance,Savings Institutions
178,ANDE,NASDAQ,The Andersons Inc,Consumer Services,Farming Seeds Milling
179,ANGI,NASDAQ,Angi Homeservices Inc,Consumer Services,Advertising
180,ANGO,NASDAQ,Angiodynamics Inc,Health Care,Medical Dental Instruments
181,ANIK,NASDAQ,Anika Therapeutics Inc,Health Care,Medical Dental Instruments
182,ANIP,NASDAQ,Ani Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
183,ANSS,NASDAQ,Ansys Inc,Technology,Computer Software Prepackaged Software
184,ANTH,NASDAQ,Anthera Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
185,ANY,NASDAQ,Sphere 3D Corp,Technology,Edp Services
186,AOBC,NASDAQ,American Outdoor Brands Corporation,Capital Goods,Ordnance And Accessories
187,AOSL,NASDAQ,Alpha And Omega Semiconductor Limited,Technology,Semiconductors
188,APDN,NASDAQ,Applied Dna Sciences Inc,Consumer Services,Other Consumer Services
189,APDNW,NASDAQ,Applied Dna Sciences Inc,Consumer Services,Other Consumer Services
190,APEI,NASDAQ,American Public Education Inc,Consumer Services,Other Consumer Services
191,APEN,NASDAQ,Apollo Endosurgery Inc,Health Care,Medical Dental Instruments
192,APLS,NASDAQ,Apellis Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
193,APOG,NASDAQ,Apogee Enterprises Inc,Capital Goods,Auto Partsoem
194,APOP,NASDAQ,Cellect Biotechnology Ltd,Missing,Missing
195,APOPW,NASDAQ,Cellect Biotechnology Ltd,Missing,Missing
196,APPF,NASDAQ,Appfolio Inc,Technology,Computer Software Prepackaged Software
197,APPN,NASDAQ,Appian Corporation,Technology,Computer Software Prepackaged Software
198,APPS,NASDAQ,Digital Turbine Inc,Miscellaneous,Multisector Companies
199,APRI,NASDAQ,Apricus Biosciences Inc,Health Care,Major Pharmaceuticals
200,APTI,NASDAQ,Apptio Inc,Technology,Computer Software Prepackaged Software
201,APTO,NASDAQ,Aptose Biosciences Inc,Health Care,Biotechnology Biological Products No Diagnostic Substances
202,APVO,NASDAQ,Aptevo Therapeutics Inc,Health Care,Major Pharmaceuticals
203,APWC,NASDAQ,Asia Pacific Wire And Cable Corporation Limited,Basic Industries,Telecommunications Equipment
204,AQB,NASDAQ,Aquabounty Technologies Inc,Missing,Missing
205,AQMS,NASDAQ,Aqua Metals Inc,Basic Industries,Metal Fabrications
206,AQXP,NASDAQ,Aquinox Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
207,ARAY,NASDAQ,Accuray Incorporated,Health Care,Medical Dental Instruments
208,ARCB,NASDAQ,Arcbest Corporation,Transportation,Trucking Freight Courier Services
209,ARCC,NASDAQ,Ares Capital Corporation,Missing,Missing
210,ARCI,NASDAQ,Appliance Recycling Centers Of America Inc,Consumer Services,Home Furnishings
211,ARCT,NASDAQ,Arcturus Therapeutics Ltd,Missing,Missing
212,ARCW,NASDAQ,Arc Group Worldwide Inc,Capital Goods,Metal Fabrications
213,ARDM,NASDAQ,Aradigm Corporation,Health Care,Biotechnology Electromedical And Electrotherapeutic Apparatus
214,ARDX,NASDAQ,Ardelyx Inc,Health Care,Major Pharmaceuticals
215,AREX,NASDAQ,Approach Resources Inc,Energy,Oil And Gas Production
216,ARGX,NASDAQ,Argenx Se,Health Care,Biotechnology Biological Products No Diagnostic Substances
217,ARII,NASDAQ,American Railcar Industries Inc,Capital Goods,Railroads
218,ARKR,NASDAQ,Ark Restaurants Corp,Consumer Services,Restaurants
219,ARLP,NASDAQ,Alliance Resource Partners Lp,Energy,Coal Mining
220,ARLZ,NASDAQ,Aralez Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
221,ARMO,NASDAQ,Armo Biosciences Inc,Health Care,Major Pharmaceuticals
222,ARNA,NASDAQ,Arena Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
223,AROW,NASDAQ,Arrow Financial Corporation,Finance,Major Banks
224,ARQL,NASDAQ,Arqule Inc,Health Care,Major Pharmaceuticals
225,ARRS,NASDAQ,Arris International Plc,Technology,Radio And Television Broadcasting And Communications Equipment
226,ARRY,NASDAQ,Array Biopharma Inc,Health Care,Major Pharmaceuticals
227,ARTNA,NASDAQ,Artesian Resources Corporation,Public Utilities,Water Supply
228,ARTW,NASDAQ,Artsway Manufacturing Co Inc,Capital Goods,Industrial Machinery Components
229,ARTX,NASDAQ,Arotech Corporation,Miscellaneous,Industrial Machinery Components
230,ARWR,NASDAQ,Arrowhead Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
231,ASCMA,NASDAQ,Ascent Capital Group Inc,Consumer Services,Other Consumer Services
232,ASET,NASDAQ,Flexshares Real Assets Allocation Index Fund,Missing,Missing
233,ASFI,NASDAQ,Asta Funding Inc,Finance,Finance Companies
234,ASLN,NASDAQ,Aslan Pharmaceuticals Limited,Health Care,Major Pharmaceuticals
235,ASMB,NASDAQ,Assembly Biosciences Inc,Health Care,Major Pharmaceuticals
236,ASML,NASDAQ,Asml Holding Nv,Technology,Industrial Machinery Components
237,ASNA,NASDAQ,Ascena Retail Group Inc,Consumer Services,Clothing Shoe Accessory Stores
238,ASND,NASDAQ,Ascendis Pharma A S,Health Care,Major Pharmaceuticals
239,ASNS,NASDAQ,Arsanis Inc,Health Care,Biotechnology Biological Products No Diagnostic Substances
240,ASPS,NASDAQ,Altisource Portfolio Solutions Sa,Consumer Services,Other Consumer Services
241,ASPU,NASDAQ,Aspen Group Inc,Consumer Services,Other Consumer Services
242,ASRV,NASDAQ,Ameriserv Financial Inc,Finance,Major Banks
243,ASRVP,NASDAQ,Ameriserv Financial Inc,Finance,Major Banks
244,ASTC,NASDAQ,Astrotech Corporation,Capital Goods,Military Government Technical
245,ASTE,NASDAQ,Astec Industries Inc,Capital Goods,Construction Ag Equipment Trucks
246,ASUR,NASDAQ,Asure Software Inc,Technology,Edp Services
247,ASV,NASDAQ,Asv Holdings Inc,Capital Goods,Construction Ag Equipment Trucks
248,ASYS,NASDAQ,Amtech Systems Inc,Technology,Industrial Machinery Components
249,ATAC,NASDAQ,Atlantic Acquisition Corp,Consumer Nondurables,Food Distributors
250,ATACR,NASDAQ,Atlantic Acquisition Corp,Consumer Nondurables,Food Distributors
251,ATACU,NASDAQ,Atlantic Acquisition Corp,Consumer Nondurables,Food Distributors
252,ATAI,NASDAQ,Ata Inc,Consumer Services,Other Consumer Services
253,ATAX,NASDAQ,America First Multifamily Investors Lp,Finance,Finance Consumer Services
254,ATEC,NASDAQ,Alphatec Holdings Inc,Health Care,Medical Dental Instruments
255,ATHN,NASDAQ,Athenahealth Inc,Miscellaneous,Business Services
256,ATHX,NASDAQ,Athersys Inc,Health Care,Major Pharmaceuticals
257,ATIS,NASDAQ,Attis Industries Inc,Basic Industries,Miscellaneous
258,ATISW,NASDAQ,Attis Industries Inc,Basic Industries,Miscellaneous
259,ATLC,NASDAQ,Atlanticus Holdings Corporation,Finance,Finance Consumer Services
260,ATLO,NASDAQ,Ames National Corporation,Finance,Major Banks
261,ATNI,NASDAQ,Atn International Inc,Public Utilities,Telecommunications Equipment
262,ATNX,NASDAQ,Athenex Inc,Health Care,Major Pharmaceuticals
263,ATOM,NASDAQ,Atomera Incorporated,Technology,Semiconductors
264,ATOS,NASDAQ,Atossa Genetics Inc,Health Care,Major Pharmaceuticals
265,ATRA,NASDAQ,Atara Biotherapeutics Inc,Health Care,Biotechnology Biological Products No Diagnostic Substances
266,ATRC,NASDAQ,Atricure Inc,Health Care,Medical Dental Instruments
267,ATRI,NASDAQ,Atrion Corporation,Health Care,Medical Dental Instruments
268,ATRO,NASDAQ,Astronics Corporation,Capital Goods,Military Government Technical
269,ATRS,NASDAQ,Antares Pharma Inc,Health Care,Medical Dental Instruments
270,ATSG,NASDAQ,Air Transport Services Group Inc,Transportation,Air Freight Delivery Services
271,ATTU,NASDAQ,Attunity Ltd,Technology,Computer Software Prepackaged Software
272,ATVI,NASDAQ,Activision Blizzard Inc,Technology,Computer Software Prepackaged Software
273,ATXI,NASDAQ,Avenue Therapeutics Inc,Health Care,Major Pharmaceuticals
274,AUBN,NASDAQ,Auburn National Bancorporation Inc,Finance,Major Banks
275,AUDC,NASDAQ,Audiocodes Ltd,Public Utilities,Telecommunications Equipment
276,AUPH,NASDAQ,Aurinia Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
277,AUTO,NASDAQ,Autoweb Inc,Technology,Computer Software Programming Data Processing
278,AVAV,NASDAQ,Aerovironment Inc,Capital Goods,Aerospace
279,AVDL,NASDAQ,Avadel Pharmaceuticals Plc,Health Care,Major Pharmaceuticals
280,AVEO,NASDAQ,Aveo Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
281,AVGO,NASDAQ,Broadcom Inc,Technology,Semiconductors
282,AVGR,NASDAQ,Avinger Inc,Health Care,Medical Dental Instruments
283,AVHI,NASDAQ,A V Homes Inc,Capital Goods,Homebuilding
284,AVID,NASDAQ,Avid Technology Inc,Technology,Computer Software Prepackaged Software
285,AVNW,NASDAQ,Aviat Networks Inc,Technology,Radio And Television Broadcasting And Communications Equipment
286,AVT,NASDAQ,Avnet Inc,Consumer Nondurables,Electronic Components
287,AVXL,NASDAQ,Anavex Life Sciences Corp,Health Care,Biotechnology Commercial Physical And Biological Resarch
288,AVXS,NASDAQ,Avexis Inc,Health Care,Biotechnology Biological Products No Diagnostic Substances
289,AWRE,NASDAQ,Aware Inc,Technology,Computer Software Prepackaged Software
290,AXAS,NASDAQ,Abraxas Petroleum Corporation,Energy,Oil And Gas Production
291,AXDX,NASDAQ,Accelerate Diagnostics Inc,Capital Goods,Biotechnology Laboratory Analytical Instruments
292,AXGN,NASDAQ,Axogen Inc,Health Care,Biotechnology Electromedical And Electrotherapeutic Apparatus
293,AXON,NASDAQ,Axovant Sciences Ltd,Health Care,Major Pharmaceuticals
294,AXSM,NASDAQ,Axsome Therapeutics Inc,Health Care,Major Pharmaceuticals
295,AXTI,NASDAQ,Axt Inc,Technology,Semiconductors
296,AY,NASDAQ,Atlantica Yield Plc,Public Utilities,Electric Utilities Central
297,AYTU,NASDAQ,Aytu Bioscience Inc,Health Care,Major Pharmaceuticals
298,AZPN,NASDAQ,Aspen Technology Inc,Technology,Edp Services
299,AZRX,NASDAQ,Azurrx Biopharma Inc,Health Care,Major Pharmaceuticals
300,BABY,NASDAQ,Natus Medical Incorporated,Health Care,Biotechnology Electromedical And Electrotherapeutic Apparatus
301,BAND,NASDAQ,Bandwidth Inc,Technology,Computer Software Prepackaged Software
302,BANF,NASDAQ,Bancfirst Corporation,Finance,Major Banks
303,BANFP,NASDAQ,Bancfirst Corporation,Finance,Major Banks
304,BANR,NASDAQ,Banner Corporation,Finance,Major Banks
305,BANX,NASDAQ,Stonecastle Financial Corp,Missing,Missing
306,BASI,NASDAQ,Bioanalytical Systems Inc,Health Care,Biotechnology Commercial Physical And Biological Resarch
307,BATRA,NASDAQ,Liberty Media Corporation,Consumer Services,Broadcasting
308,BATRK,NASDAQ,Liberty Media Corporation,Consumer Services,Broadcasting
309,BBBY,NASDAQ,Bed Bath And Beyond Inc,Consumer Services,Home Furnishings
310,BBC,NASDAQ,Virtus Lifesci Biotech Clinical Trials Etf,Missing,Missing
311,BBGI,NASDAQ,Beasley Broadcast Group Inc,Consumer Services,Broadcasting
312,BBH,NASDAQ,Vaneck Vectors Biotech Etf,Missing,Missing
313,BBOX,NASDAQ,Black Box Corporation,Technology,Computer Communications Equipment
314,BBP,NASDAQ,Virtus Lifesci Biotech Products Etf,Missing,Missing
315,BBRG,NASDAQ,Bravo Brio Restaurant Group Inc,Consumer Services,Restaurants
316,BBSI,NASDAQ,Barrett Business Services Inc,Technology,Professional Services
317,BCAC,NASDAQ,Bison Capital Acquisition Corp,Finance,Business Services
318,BCACR,NASDAQ,Bison Capital Acquisition Corp,Finance,Business Services
319,BCACU,NASDAQ,Bison Capital Acquisition Corp,Finance,Business Services
320,BCACW,NASDAQ,Bison Capital Acquisition Corp,Finance,Business Services
321,BCBP,NASDAQ,Bcb Bancorp Inc Nj,Finance,Savings Institutions
322,BCLI,NASDAQ,Brainstorm Cell Therapeutics Inc,Health Care,Biotechnology Biological Products No Diagnostic Substances
323,BCML,NASDAQ,Baycom Corp,Finance,Major Banks
324,BCOM,NASDAQ,B Communications Ltd,Consumer Services,Telecommunications Equipment
325,BCOR,NASDAQ,Blucora Inc,Finance,Finance Consumer Services
326,BCOV,NASDAQ,Brightcove Inc,Technology,Edp Services
327,BCPC,NASDAQ,Balchem Corporation,Basic Industries,Major Chemicals
328,BCRX,NASDAQ,Biocryst Pharmaceuticals Inc,Health Care,Biotechnology Biological Products No Diagnostic Substances
